Food,Cuisine,Main_Protein,Cooking_Method,Vegetarian,Meal_Type,Favored
Slow Simmered Carnitas,Mexican,Pork,Simmered,No,Dinner,Yes
Ceviche Bar (Plated),Latin American,Seafood,Raw,No,Lunch,No
Creamy Chipotle Chicken Pasta,Mexican,Chicken,Simmered,No,Dinner,Yes
Chicken Pot Pie,American,Chicken,Baked,No,Dinner,No
Peruvian Lomo Saltado,Peruvian,Beef,Stir-Fried,No,Dinner,No
Classic Clam Chowder Bread Bowl,American,Seafood,Simmered,No,Lunch,Yes
Mediterranean Lamb Rice Bowl,Mediterranean,Lamb,Grilled,No,Lunch,No
Chicken Mole,Mexican,Chicken,Simmered,No,Dinner,No
Mommas Calabasitas Con Puerco,Mexican,Pork,Simmered,No,Dinner,No
Blackened Salmon,American,Fish,Grilled,No,Dinner,Yes
Char Siu Bao Bun (Plated),Chinese,Pork,Steamed,No,Dinner,Yes
Grilled Chicken Wings,American,Chicken,Grilled,No,Dinner,Yes
Creamy Shrimp Alfredo Pasta,Italian,Seafood,Boiled,No,Dinner,Yes
Thai Red Curry (Plated),Thai,Chicken,Simmered,No,Dinner,No
All Beef Burger,American,Beef,Grilled,No,Lunch,Yes
Taco Tuesday,Mexican,Beef,Grilled,No,Lunch,Yes
Korean Bibimbap Bowl,Korean,Beef,Stir-Fried,No,Lunch,No
Enchiladas Plate,Mexican,Chicken,Baked,No,Dinner,Yes
Thai Spicy Seafood Soup,Thai,Seafood,Boiled,No,Lunch,No
Meatloaf,American,Beef,Baked,No,Dinner,No
Gyudon Bowl (Plated),Japanese,Beef,Simmered,No,Lunch,Yes
Fish & Chips,British,Fish,Fried,No,Dinner,Yes
Creamy Butter Chicken,Indian,Chicken,Simmered,No,Dinner,Yes
Pastrami Reuben Sandwhich (Plated 1/2),American,Beef,Grilled,No,Dinner,Yes
Salvadorian Pupusas,Salvadorian,Pork,Grilled,No,Dinner,Yes
Cajun Shrimp Boil (Plated),Cajun,Seafood,Boiled,No,Dinner,No
Honey Walnut Shrimp,Chinese,Seafood,Fried,No,Dinner,Yes
Breakfast Cheesy Enchiladas (Plated),Mexican,Eggs,Baked,Yes,Breakfast,Yes
Bacon Egg Casserole,American,Pork,Baked,No,Breakfast,Yes
Breakfast Platter,American,Eggs,Fried,Yes,Breakfast,Yes
Breakfast Burrito Plated,Mexican,Eggs,Grilled,Yes,Breakfast,Yes
Chicken Parmesan Pasta,Italian,Chicken,Baked,No,Dinner,Yes
Seafood Cioppino,Italian,Seafood,Simmered,No,Dinner,No
Grilled Teriyaki Chicken Bowl,Japanese,Chicken,Grilled,No,Lunch,Yes
BBQ Cowboy All Beef Burger,American,Beef,Grilled,No,Lunch,Yes
Street Style Grilled Hot Dog,American,Pork,Grilled,No,Lunch,Yes
Braised Chicken Tinga Tostadas,Mexican,Chicken,Simmered,No,Dinner,No
Chilaquiles,Mexican,Eggs,Fried,Yes,Breakfast,Yes
Lemon Pepper Salmon,American,Fish,Grilled,No,Dinner,Yes
Beef Pho,Vietnamese,Beef,Boiled,No,Dinner,Yes
Shrimp Mac'n Cheese,American,Seafood,Baked,No,Dinner,Yes
Crispy Chicken Tenders,American,Chicken,Fried,No,Dinner,Yes
Chicken Tikka Masala,Indian,Chicken,Simmered,No,Dinner,Yes
Tuscan Lemon Shrimp Penne,Italian,Seafood,Boiled,No,Dinner,Yes
Al Pastor Tacos,Mexican,Pork,Grilled,No,Lunch,Yes
Szechuan Pork Belly,Chinese,Pork,Stir-Fried,No,Dinner,No
Quesabirria Tacos,Mexican,Beef,Grilled,No,Lunch,Yes
Mediterranean Citrus Herb Chicken,Mediterranean,Chicken,Grilled,No,Dinner,No
Huli Huli Chicken,Hawaiian,Chicken,Grilled,No,Dinner,No
Turkey Taco Salad,Mexican,Turkey,Grilled,No,Lunch,Yes
Lamb Pita,Mediterranean,Lamb,Grilled,No,Dinner,No
Lemon Herb Baked Cod,American,Fish,Baked,No,Dinner,No
Penne & Turkey Bolognese,Italian,Turkey,Boiled,No,Dinner,Yes
Pan Seared Salmon,American,Fish,Grilled,No,Dinner,Yes
Five-Spice Smoked Chicken,Chinese,Chicken,Grilled,No,Dinner,No
Tonkotsu Ramen Bowl,Japanese,Pork,Boiled,No,Lunch,Yes
Cajun Shrimp Plate,Cajun,Seafood,Grilled,No,Dinner,No
Ropa Vieja,Cuban,Beef,Simmered,No,Dinner,No
Beef Lasagna,Italian,Beef,Baked,No,Dinner,Yes
Grilled Fish Tacos,Mexican,Fish,Grilled,No,Lunch,No
Bun Rieu,Vietnamese,Seafood,Boiled,No,Dinner,Yes
"Winner, winner! Chicken Dinner!",American,Chicken,Grilled,No,Dinner,Yes
Chickpea Curry,Indian,Chickpea,Simmered,No,Dinner,No
Garlic Wing Goodness,American,Chicken,Grilled,No,Dinner,Yes
Tacos Suadero,Mexican,Beef,Grilled,No,Lunch,Yes
Pepper Pork Panini,Italian,Pork,Grilled,No,Lunch,Yes
Sushi Bake Bowl,Japanese,Fish,Baked,No,Lunch,No
Tuna Melt,American,Fish,Grilled,No,Dinner,No
Greek Chicken Pita,Mediterranean,Chicken,Grilled,No,Dinner,No
Oatly Chicken Pesto Alfredo,Italian,Chicken,Boiled,No,Dinner,Yes
BBQ Chicken Plate,American,Chicken,Grilled,No,Dinner,Yes
Seafood Risotto,Italian,Seafood,Boiled,No,Dinner,No
Korean Fried Chicken,Korean,Chicken,Fried,No,Dinner,Yes
Sopa De Mares (Seafood Chipotle Soup),Latin American,Seafood,Simmered,No,Lunch,No
Carne Asada Nachos,Mexican,Beef,Grilled,No,Lunch,Yes
Shrimp Pad Thai (Plate),Thai,Seafood,Boiled,No,Dinner,Yes
Taco Tuesday Pollo Asado,Mexican,Chicken,Grilled,No,Lunch,Yes
BBQ Glazed Pork Ribs,American,Pork,Grilled,No,Dinner,Yes
Classic Pho (Plated ),Vietnamese,Beef,Boiled,No,Dinner,Yes
Caldo De Res,Mexican,Beef,Simmered,No,Dinner,No
Wing Wednesday (Plate),American,Chicken,Grilled,No,Dinner,Yes
Orange Glazed Chicken Bowl,Asian,Chicken,Grilled,No,Lunch,No
Miso Glazed Black Cod,Japanese,Fish,Baked,No,Dinner,No
Grilled Chicken Pesto Sandwhich (Plated),Italian,Chicken,Grilled,No,Dinner,Yes
Beef Picadillo,Latin American,Beef,Simmered,No,Dinner,No
Beijing Beef,Chinese,Beef,Stir-Fried,No,Dinner,Yes
Street Tacos,Mexican,Beef,Grilled,No,Lunch,Yes
Polish Sausage,Polish,Pork,Grilled,No,Dinner,No
Tandoori Rice Plate,Indian,Chicken,Grilled,No,Dinner,No
Spanish Tortilla (Omlet),Spanish,Eggs,Fried,Yes,Breakfast,Yes
Molletes plated,Mexican,Beans,Baked,No,Dinner,No
Garden Omelet,American,Eggs,Fried,Yes,Breakfast,Yes
Pollo a la Brasa,Peruvian,Chicken,Grilled,No,Dinner,No
Beef Birria Plate,Mexican,Beef,Simmered,No,Dinner,No
Southern Gumbo,American,Seafood,Simmered,No,Lunch,No
Carne Asada Tortas,Mexican,Beef,Grilled,No,Lunch,Yes
Beef & Broccoli,Chinese,Beef,Stir-Fried,No,Dinner,Yes
Market Style Shrimp Platter,American,Seafood,Grilled,No,Dinner,No
Braised Beef Barbacoa,Mexican,Beef,Simmered,No,Dinner,Yes
Chicken Marsala,Italian,Chicken,Simmered,No,Dinner,Yes
Osso Bucco,Italian,Beef,Simmered,No,Dinner,No
Lemon Garlic Greek Chicken,Mediterr,Chicken,Ovened,No,Dinner,No
Pork Chili Verde,Mexican,Pork,Simmered,No,Dinner,No
Crispy Chicken Sandwhich,American,Chicken,Fried,No,Dinner,Yes
Lamb Barbacoa,American,Lamb,Ovened,No,Dinner,No
Pescado a la Veracruzana,Mexican,Fish,Simmered,No,Dinner,No
Thai Basil Beef,Thai,Beef,Ovened,No,Dinner,No
Pollo Asado,Mexican,Chicken,Grilled,No,Dinner,No
Real Good Fish Burger,American,Fish,Grilled,No,Lunch,No
Artichoke & Eggplant Lasagna,Italian,Eggs,Baked,Yes,Breakfast,No
All American Pot Roast,American,Beef,Baked,No,Dinner,No
Beef Taquito Dinner Platter,American,Beef,Fried,No,Dinner,Yes
Thai Beef Pad Krapow,Thai,Beef,Ovened,No,Dinner,No
Mediterranean Shrimp Bowl,Mediterranean,Seafood,Ovened,No,Lunch,No
Chicken Fajitas,Mexican,Chicken,Grilled,No,Dinner,Yes
Pepperoni Pizza,Italian,Pork,Baked,No,Lunch,Yes
Combo Pizza,Italian,Pork,Baked,No,Lunch,Yes
Harissa Spiced Shrimp,Mediterranean,Seafood,Simmered,No,Dinner,No
Herb Marinated Chicken,American,Grilled,No,Dinner,No
Chili Lime Chicken,American,Grilled,No,Dinner,No
Pork Adobo,Filipino,Pork,Simmered,No,Dinner,No
